site,sp,genus,doy_10_percentile,doy_30_percentile,doy_50_percentile,doy_70_percentile,doy_90_percentile,n_record,n_year,type
ABBY,Alnus rubra,Alnus,55.8,104.4,164,241,308.20000000000005,669,16,species_level
ABBY,Alnus viridis,Alnus,107,133,235,268,296,11,3,species_level
ABBY,Cytisus scoparius,Cytisus,77,116,130,143,164,946,14,species_level
ABBY,Lathyrus polyphyllus,Lathyrus,123.3,134.9,137.5,151.29999999999998,161.10000000000002,24,6,species_level
ABBY,Lathyrus sp,Lathyrus,96,143,169,189,232,2982,22,genus_level
ABBY,Lotus aboriginus,Lotus,156,171,185,208,242,3620,21,genus_level
ABBY,Lotus sp,Lotus,156,171,185,208,242,3620,21,genus_level
ABBY,Lupinus sp,Lupinus,64,83,100,119,166,14875,32,genus_level
ABBY,Thermopsis montana,Thermopsis,128,146,154,156,184,21,10,species_level
ABBY,Trifolium sp,Trifolium,101,136,162,196,262,16655,23,genus_level
ABBY,Vicia americana,Vicia,137,153,169,184,200.7,414,15,species_level
ABBY,Vicia sativa,Vicia,68,96,116,127,146,1207,16,species_level
ABBY,Vicia villosa,Vicia,94.9,121,144,162,190,990,18,species_level
BARR,Lupinus arcticus,Lupinus,66,106.4,173,191.60000000000002,216.2,19,11,species_level
BLAN,Amphicarpaea bracteata,Amphicarpaea,224,232,238.5,245,253,2412,21,species_level
BLAN,Desmodium sp,Desmodium,183,205,223,242,264,705,15,genus_level
BLAN,Elaeagnus umbellata,Elaeagnus,98,115,125,138,149,1191,18,species_level
BLAN,Glycine max,Glycine,206.8,212.79999999999998,219,237,252.20000000000002,7,3,species_level
BLAN,Kummerowia striata,Kummerowia,223.2,234.60000000000002,244,252.2,274.4,77,11,species_level
BLAN,Lespedeza cuneata,Lespedeza,220,241,252,258,268,209,12,species_level
BLAN,Medicago lupulina,Medicago,90,139,158,176,228,1560,16,species_level
BLAN,Melilotus officinalis,Melilotus,145.2,161,173,194,235,1193,19,species_level
BLAN,Robinia pseudoacacia,Robinia,93,120,138,152,257.8000000000002,2963,20,species_level
BLAN,Trifolium arvense,Trifolium,145.7,176,193,214,249.3,478,10,species_level
BLAN,Trifolium campestre,Trifolium,100,126,147,173,207.20000000000005,725,14,species_level
BLAN,Trifolium pratense,Trifolium,145,166,196,243,280,4765,20,species_level
BLAN,Trifolium reflexum,Trifolium,127.3,131.89999999999998,136,141.39999999999998,147,12,5,species_level
BLAN,Trifolium repens,Trifolium,91,138,163,199,274,5555,18,species_level
BLAN,Trifolium sp,Trifolium,101,136,162,196,262,16655,23,genus_level
BLAN,Vicia sativa,Vicia,68,96,116,127,146,1207,16,species_level
BLAN,Vicia sp,Vicia,84,118,145,170,203,4697,22,genus_level
BLAN,Vicia villosa,Vicia,94.9,121,144,162,190,990,18,species_level
BONA,Alnus incana,Alnus,102,156,193,233,276,926,15,species_level
BONA,Alnus viridis,Alnus,107,133,235,268,296,11,3,species_level
BONA,Lathyrus japonicus,Lathyrus,136.3,153,171,195,232,424,18,species_level
CLBJ,Acacia angustissima,Acacia,40,89.29999999999995,180,272,325.9000000000001,1572,14,genus_level
